order_id,customer_id,product_id,quantity,total_amount
ORD_0901,CUST_0059,PROD_0072,1,17791
ORD_0902,CUST_0029,PROD_0082,-1,59811
ORD_0903,CUST_0046,PROD_0195,3,abc
ORD_0904,CUST_0236,PROD_0055,3,90846
ORD_0905,CUST_0263,PROD_0130,1,32469
ORD_0906,CUST_0263,PROD_0063,3,abc
ORD_0907,CUST_0334,PROD_0009,1,64357
ORD_0908,CUST_0038,PROD_0260,3,3683
ORD_0909,CUST_0265,PROD_0168,2,31206
ORD_0910,CUST_0267,PROD_0266,3,abc
ORD_0911,CUST_0143,PROD_0121,2,8539
ORD_0912,CUST_0340,PROD_0325,1,63044
ORD_0913,CUST_0108,PROD_0107,3,abc
ORD_0914,CUST_0241,PROD_0347,1,abc
ORD_0915,CUST_0036,PROD_0214,-1,abc
ORD_0916,CUST_0085,PROD_0169,2,abc
ORD_0917,CUST_0297,PROD_0234,-1,abc
ORD_0918,CUST_0205,PROD_0212,1,89719
ORD_0919,CUST_0159,PROD_0286,2,abc
ORD_0920,CUST_0298,PROD_0348,3,abc
ORD_0921,CUST_0205,PROD_0073,3,abc
ORD_0922,CUST_0250,PROD_0274,-1,abc
ORD_0923,CUST_0181,PROD_0220,2,abc
ORD_0924,CUST_0104,PROD_0345,1,abc
ORD_0925,CUST_0197,PROD_0079,-1,abc
ORD_0926,CUST_0314,PROD_0114,2,abc
ORD_0927,CUST_0060,PROD_0078,1,abc
ORD_0928,CUST_0101,PROD_0014,2,73982
ORD_0929,CUST_0018,PROD_0064,-1,44782
ORD_0930,CUST_0216,PROD_0205,-1,64736
ORD_0931,CUST_0185,PROD_0293,2,16878
ORD_0932,CUST_0244,PROD_0254,3,abc
ORD_0933,CUST_0044,PROD_0057,-1,abc
ORD_0934,CUST_0074,PROD_0268,1,83225
ORD_0935,CUST_0274,PROD_0313,-1,40994
ORD_0936,CUST_0329,PROD_0213,2,43637
ORD_0937,CUST_0196,PROD_0048,2,66007
ORD_0938,CUST_0209,PROD_0060,1,abc
ORD_0939,CUST_0085,PROD_0225,1,abc
ORD_0940,CUST_0251,PROD_0109,1,abc
ORD_0941,CUST_0002,PROD_0262,3,abc
ORD_0942,CUST_0314,PROD_0034,1,abc
ORD_0943,CUST_0339,PROD_0321,-1,57052
ORD_0944,CUST_0099,PROD_0303,2,abc
