order_id,customer_id,product_id,quantity,total_amount
ORD_0601,CUST_0058,PROD_0186,-1,59646
ORD_0602,CUST_0183,PROD_0247,1,abc
ORD_0603,CUST_0248,PROD_0155,-1,11836
ORD_0604,CUST_0249,PROD_0044,-1,45484
ORD_0605,CUST_0216,PROD_0272,-1,23477
ORD_0606,CUST_0095,PROD_0047,2,abc
ORD_0607,CUST_0087,PROD_0179,-1,82156
ORD_0608,CUST_0288,PROD_0086,-1,28891
ORD_0609,CUST_0034,PROD_0098,2,abc
ORD_0610,CUST_0329,PROD_0290,-1,79935
ORD_0611,CUST_0311,PROD_0043,2,39358
ORD_0612,CUST_0072,PROD_0236,3,abc
ORD_0613,CUST_0284,PROD_0154,1,abc
ORD_0614,CUST_0130,PROD_0288,1,abc
ORD_0615,CUST_0236,PROD_0316,-1,94695
ORD_0616,CUST_0235,PROD_0074,-1,59257
ORD_0617,CUST_0330,PROD_0342,1,4891
ORD_0618,CUST_0337,PROD_0303,1,abc
ORD_0619,CUST_0154,PROD_0217,3,76457
ORD_0620,CUST_0344,PROD_0139,1,abc
ORD_0621,CUST_0204,PROD_0338,2,11424
ORD_0622,CUST_0100,PROD_0244,1,abc
ORD_0623,CUST_0293,PROD_0042,3,abc
ORD_0624,CUST_0345,PROD_0042,3,7376
ORD_0625,CUST_0215,PROD_0089,-1,abc
ORD_0626,CUST_0046,PROD_0149,1,abc
ORD_0627,CUST_0093,PROD_0173,1,35035
ORD_0628,CUST_0154,PROD_0193,1,abc
ORD_0629,CUST_0131,PROD_0043,3,abc
ORD_0630,CUST_0273,PROD_0152,2,abc
ORD_0631,CUST_0280,PROD_0026,-1,abc
ORD_0632,CUST_0193,PROD_0220,2,89624
ORD_0633,CUST_0084,PROD_0349,3,abc
ORD_0634,CUST_0058,PROD_0058,3,25539
ORD_0635,CUST_0319,PROD_0066,2,abc
ORD_0636,CUST_0087,PROD_0012,-1,90058
ORD_0637,CUST_0068,PROD_0237,3,abc
ORD_0638,CUST_0100,PROD_0164,1,86360
ORD_0639,CUST_0097,PROD_0272,-1,97498
ORD_0640,CUST_0265,PROD_0001,2,67480
ORD_0641,CUST_0246,PROD_0072,2,abc
ORD_0642,CUST_0067,PROD_0350,3,39924
ORD_0643,CUST_0246,PROD_0227,2,abc
ORD_0644,CUST_0326,PROD_0257,2,abc
ORD_0645,CUST_0011,PROD_0307,3,abc
ORD_0646,CUST_0348,PROD_0056,-1,abc
ORD_0647,CUST_0168,PROD_0181,-1,64361
ORD_0648,CUST_0087,PROD_0136,2,abc
ORD_0649,CUST_0014,PROD_0316,-1,32371
ORD_0650,CUST_0081,PROD_0346,3,95938
ORD_0651,CUST_0056,PROD_0084,3,21006
ORD_0652,CUST_0299,PROD_0271,2,39906
ORD_0653,CUST_0090,PROD_0072,2,23980
ORD_0654,CUST_0127,PROD_0002,2,31563
ORD_0655,CUST_0193,PROD_0260,-1,abc
ORD_0656,CUST_0091,PROD_0123,-1,abc
ORD_0657,CUST_0019,PROD_0281,1,abc
ORD_0658,CUST_0014,PROD_0043,-1,abc
ORD_0659,CUST_0055,PROD_0341,2,abc
ORD_0660,CUST_0237,PROD_0051,1,abc
ORD_0661,CUST_0172,PROD_0233,-1,abc
ORD_0662,CUST_0213,PROD_0089,2,37880
