order_id,customer_id,product_id,quantity,total_amount
ORD_1201,CUST_0036,PROD_0289,3,5418
ORD_1202,CUST_0043,PROD_0144,3,abc
ORD_1203,CUST_0332,PROD_0336,3,1498
ORD_1204,CUST_0045,PROD_0148,-1,abc
ORD_1205,CUST_0200,PROD_0044,1,abc
ORD_1206,CUST_0104,PROD_0062,3,16593
ORD_1207,CUST_0245,PROD_0196,3,7730
ORD_1208,CUST_0196,PROD_0047,2,abc
ORD_1209,CUST_0203,PROD_0192,3,abc
ORD_1210,CUST_0222,PROD_0209,1,7985
ORD_1211,CUST_0324,PROD_0231,3,15218
ORD_1212,CUST_0251,PROD_0347,-1,abc
ORD_1213,CUST_0210,PROD_0074,3,abc
ORD_1214,CUST_0153,PROD_0288,1,abc
ORD_1215,CUST_0108,PROD_0193,-1,54965
ORD_1216,CUST_0091,PROD_0069,2,abc
ORD_1217,CUST_0262,PROD_0127,-1,87335
ORD_1218,CUST_0069,PROD_0258,3,abc
ORD_1219,CUST_0267,PROD_0078,1,33512
ORD_1220,CUST_0169,PROD_0318,-1,16687
ORD_1221,CUST_0067,PROD_0093,1,39198
ORD_1222,CUST_0034,PROD_0065,1,abc
ORD_1223,CUST_0034,PROD_0336,2,40522
ORD_1224,CUST_0109,PROD_0068,3,abc
ORD_1225,CUST_0282,PROD_0075,2,19893
ORD_1226,CUST_0221,PROD_0287,1,7306
ORD_1227,CUST_0031,PROD_0008,-1,82365
ORD_1228,CUST_0114,PROD_0263,-1,abc
ORD_1229,CUST_0094,PROD_0003,-1,86477
ORD_1230,CUST_0343,PROD_0026,1,84987
ORD_1231,CUST_0156,PROD_0323,2,42303
ORD_1232,CUST_0018,PROD_0340,3,abc
ORD_1233,CUST_0246,PROD_0193,-1,12505
ORD_1234,CUST_0295,PROD_0127,2,38092
ORD_1235,CUST_0254,PROD_0181,3,63836
ORD_1236,CUST_0149,PROD_0290,-1,abc
ORD_1237,CUST_0050,PROD_0278,1,41495
ORD_1238,CUST_0226,PROD_0152,-1,11899
ORD_1239,CUST_0043,PROD_0308,-1,abc
ORD_1240,CUST_0129,PROD_0342,1,45665
ORD_1241,CUST_0300,PROD_0295,2,abc
ORD_1242,CUST_0003,PROD_0190,2,abc
ORD_1243,CUST_0116,PROD_0052,1,86177
ORD_1244,CUST_0236,PROD_0047,2,19326
ORD_1245,CUST_0252,PROD_0065,1,abc
ORD_1246,CUST_0313,PROD_0256,2,abc
