order_id,customer_id,product_id,quantity,total_amount
ORD_0301,CUST_0349,PROD_0278,-1,abc
ORD_0302,CUST_0303,PROD_0052,-1,98810
ORD_0303,CUST_0181,PROD_0345,2,16379
ORD_0304,CUST_0210,PROD_0069,3,abc
ORD_0305,CUST_0201,PROD_0031,1,4909
ORD_0306,CUST_0048,PROD_0281,-1,71319
ORD_0307,CUST_0347,PROD_0116,2,58449
ORD_0308,CUST_0232,PROD_0153,-1,31167
ORD_0309,CUST_0254,PROD_0229,-1,abc
ORD_0310,CUST_0135,PROD_0313,3,79016
ORD_0311,CUST_0059,PROD_0207,-1,abc
ORD_0312,CUST_0194,PROD_0262,1,abc
ORD_0313,CUST_0348,PROD_0228,-1,6606
ORD_0314,CUST_0053,PROD_0035,2,abc
ORD_0315,CUST_0235,PROD_0135,3,41963
ORD_0316,CUST_0171,PROD_0141,1,abc
ORD_0317,CUST_0207,PROD_0003,1,32281
ORD_0318,CUST_0046,PROD_0212,1,abc
ORD_0319,CUST_0103,PROD_0240,3,51554
ORD_0320,CUST_0179,PROD_0174,1,abc
ORD_0321,CUST_0277,PROD_0050,1,55947
ORD_0322,CUST_0320,PROD_0048,-1,51272
ORD_0323,CUST_0037,PROD_0086,1,abc
ORD_0324,CUST_0231,PROD_0146,3,abc
ORD_0325,CUST_0166,PROD_0144,1,abc
ORD_0326,CUST_0221,PROD_0024,3,28483
ORD_0327,CUST_0236,PROD_0314,1,abc
ORD_0328,CUST_0331,PROD_0188,-1,abc
ORD_0329,CUST_0059,PROD_0326,3,abc
ORD_0330,CUST_0272,PROD_0149,1,abc
ORD_0331,CUST_0045,PROD_0226,2,99630
ORD_0332,CUST_0170,PROD_0122,1,abc
ORD_0333,CUST_0010,PROD_0088,-1,abc
ORD_0334,CUST_0239,PROD_0277,2,77563
ORD_0335,CUST_0341,PROD_0114,-1,abc
ORD_0336,CUST_0200,PROD_0076,1,39222
ORD_0337,CUST_0223,PROD_0127,2,52515
ORD_0338,CUST_0198,PROD_0310,2,21115
ORD_0339,CUST_0134,PROD_0228,3,79402
ORD_0340,CUST_0281,PROD_0013,-1,54976
ORD_0341,CUST_0037,PROD_0089,2,9338
ORD_0342,CUST_0339,PROD_0114,3,71107
ORD_0343,CUST_0299,PROD_0121,-1,abc
ORD_0344,CUST_0050,PROD_0146,-1,59389
ORD_0345,CUST_0319,PROD_0049,-1,69489
ORD_0346,CUST_0237,PROD_0066,2,abc
ORD_0347,CUST_0199,PROD_0079,2,65136
ORD_0348,CUST_0179,PROD_0098,1,abc
ORD_0349,CUST_0208,PROD_0179,-1,abc
ORD_0350,CUST_0167,PROD_0140,1,9015
ORD_0351,CUST_0157,PROD_0204,3,24000
ORD_0352,CUST_0256,PROD_0157,1,4870
ORD_0353,CUST_0332,PROD_0128,2,abc
ORD_0354,CUST_0342,PROD_0027,1,abc
ORD_0355,CUST_0269,PROD_0156,-1,3688
ORD_0356,CUST_0003,PROD_0350,2,abc
ORD_0357,CUST_0035,PROD_0055,-1,abc
