order_id,customer_id,product_id,quantity,total_amount
ORD_1801,CUST_0144,PROD_0309,2,8099
ORD_1802,CUST_0304,PROD_0190,2,10657
ORD_1803,CUST_0123,PROD_0340,-1,46917
ORD_1804,CUST_0001,PROD_0333,2,2063
ORD_1805,CUST_0326,PROD_0331,1,abc
ORD_1806,CUST_0306,PROD_0007,1,abc
ORD_1807,CUST_0213,PROD_0206,2,72589
ORD_1808,CUST_0132,PROD_0137,-1,abc
ORD_1809,CUST_0099,PROD_0206,1,abc
ORD_1810,CUST_0268,PROD_0296,2,17887
ORD_1811,CUST_0077,PROD_0315,-1,88090
ORD_1812,CUST_0218,PROD_0198,3,abc
ORD_1813,CUST_0249,PROD_0293,3,25278
ORD_1814,CUST_0013,PROD_0101,3,650
ORD_1815,CUST_0022,PROD_0319,-1,60838
ORD_1816,CUST_0334,PROD_0076,-1,abc
ORD_1817,CUST_0159,PROD_0298,3,abc
ORD_1818,CUST_0271,PROD_0300,1,abc
ORD_1819,CUST_0234,PROD_0232,2,10281
ORD_1820,CUST_0287,PROD_0127,1,abc
ORD_1821,CUST_0186,PROD_0247,1,abc
ORD_1822,CUST_0062,PROD_0327,2,abc
ORD_1823,CUST_0331,PROD_0346,-1,87249
ORD_1824,CUST_0167,PROD_0018,-1,92780
ORD_1825,CUST_0149,PROD_0045,-1,97063
ORD_1826,CUST_0088,PROD_0131,2,57612
ORD_1827,CUST_0331,PROD_0307,3,abc
ORD_1828,CUST_0206,PROD_0340,1,abc
ORD_1829,CUST_0237,PROD_0082,2,abc
ORD_1830,CUST_0038,PROD_0213,3,92631
ORD_1831,CUST_0232,PROD_0138,3,8919
ORD_1832,CUST_0231,PROD_0338,-1,abc
ORD_1833,CUST_0016,PROD_0143,1,abc
ORD_1834,CUST_0266,PROD_0307,3,72408
ORD_1835,CUST_0134,PROD_0311,3,30046
ORD_1836,CUST_0283,PROD_0116,3,abc
ORD_1837,CUST_0303,PROD_0336,3,63412
ORD_1838,CUST_0175,PROD_0092,1,abc
ORD_1839,CUST_0200,PROD_0331,-1,abc
ORD_1840,CUST_0335,PROD_0031,2,85622
ORD_1841,CUST_0244,PROD_0099,-1,19915
ORD_1842,CUST_0105,PROD_0112,-1,abc
ORD_1843,CUST_0264,PROD_0289,1,85051
ORD_1844,CUST_0229,PROD_0112,3,86147
ORD_1845,CUST_0288,PROD_0155,1,78792
ORD_1846,CUST_0014,PROD_0036,1,abc
ORD_1847,CUST_0220,PROD_0146,3,51435
ORD_1848,CUST_0034,PROD_0097,2,65062
ORD_1849,CUST_0299,PROD_0096,2,abc
ORD_1850,CUST_0064,PROD_0319,-1,87829
ORD_1851,CUST_0058,PROD_0224,2,91886
ORD_1852,CUST_0095,PROD_0043,1,92399
ORD_1853,CUST_0157,PROD_0190,2,85507
ORD_1854,CUST_0110,PROD_0143,2,20391
ORD_1855,CUST_0026,PROD_0300,2,21676
ORD_1856,CUST_0129,PROD_0166,-1,63187
ORD_1857,CUST_0238,PROD_0328,-1,183
ORD_1858,CUST_0313,PROD_0042,2,abc
ORD_1859,CUST_0001,PROD_0054,-1,63272
ORD_1860,CUST_0157,PROD_0165,-1,64074
ORD_1861,CUST_0292,PROD_0114,3,55628
ORD_1862,CUST_0254,PROD_0248,-1,55428
ORD_1863,CUST_0296,PROD_0245,1,abc
ORD_1864,CUST_0139,PROD_0244,2,89042
ORD_1865,CUST_0342,PROD_0208,1,24816
ORD_1866,CUST_0344,PROD_0180,1,abc
ORD_1867,CUST_0252,PROD_0217,-1,35920
ORD_1868,CUST_0350,PROD_0022,-1,30426
ORD_1869,CUST_0298,PROD_0159,-1,96425
ORD_1870,CUST_0031,PROD_0111,1,68725
ORD_1871,CUST_0099,PROD_0280,-1,abc
ORD_1872,CUST_0200,PROD_0244,3,abc
ORD_1873,CUST_0007,PROD_0029,1,32166
ORD_1874,CUST_0225,PROD_0217,2,64900
ORD_1875,CUST_0198,PROD_0190,3,87909
ORD_1876,CUST_0037,PROD_0311,3,abc
