product_id,product_name,product_category,product_price
PROD_0901,part,Clothing,abc
PROD_0902,some,Furniture,-999
PROD_0903,,Electronics,abc
PROD_0904,very,Books,-999
PROD_0905,significant,Furniture,abc
PROD_0906,really,Electronics,-999
PROD_0907,body,Electronics,57827
PROD_0908,worry,Books,abc
PROD_0909,tax,Books,63749
PROD_0910,industry,Furniture,-999
PROD_0911,consumer,Furniture,15402
PROD_0912,,Electronics,abc
PROD_0913,drop,Furniture,-999
PROD_0914,fact,Clothing,-999
PROD_0915,run,Books,52616
PROD_0916,fill,Furniture,-999
PROD_0917,through,Electronics,abc
PROD_0918,adult,Books,83865
PROD_0919,career,Furniture,39255
PROD_0920,wrong,Books,-999
PROD_0921,hour,Furniture,abc
PROD_0922,foreign,Books,abc
PROD_0923,method,Clothing,17892
PROD_0924,else,Furniture,-999
PROD_0925,book,Electronics,abc
PROD_0926,,Electronics,51510
PROD_0927,leave,Furniture,abc
PROD_0928,detail,Electronics,74058
PROD_0929,boy,Electronics,84215
PROD_0930,anyone,Clothing,-999
PROD_0931,imagine,Furniture,29917
PROD_0932,world,Electronics,-999
PROD_0933,travel,Books,abc
PROD_0934,explain,Electronics,60923
PROD_0935,trial,Furniture,33649
PROD_0936,challenge,Furniture,abc
PROD_0937,concern,Books,72738
PROD_0938,identify,Furniture,21939
PROD_0939,argue,Clothing,21680
PROD_0940,blue,Furniture,-999
PROD_0941,president,Electronics,-999
PROD_0942,green,Furniture,14741
PROD_0943,,Books,-999
PROD_0944,behind,Books,-999
PROD_0945,hot,Electronics,67425
PROD_0946,cut,Electronics,abc
PROD_0947,side,Furniture,abc
PROD_0948,figure,Furniture,-999
PROD_0949,no,Furniture,abc
PROD_0950,who,Books,abc
PROD_0951,deep,Electronics,abc
PROD_0952,card,Electronics,-999
PROD_0953,,Clothing,90988
PROD_0954,traditional,Furniture,23881
PROD_0955,discuss,Electronics,-999
PROD_0956,much,Books,52300
PROD_0957,,Furniture,-999
PROD_0958,ability,Books,abc
PROD_0959,thank,Books,96388
PROD_0960,institution,Furniture,abc
PROD_0961,action,Furniture,59650
PROD_0962,difficult,Electronics,-999
PROD_0963,job,Electronics,abc
PROD_0964,evening,Clothing,-999
PROD_0965,,Books,abc
PROD_0966,see,Electronics,81201
PROD_0967,center,Books,-999
PROD_0968,together,Electronics,81291
PROD_0969,plan,Clothing,abc
PROD_0970,result,Clothing,abc
PROD_0971,peace,Furniture,-999
PROD_0972,subject,Electronics,47914
PROD_0973,,Electronics,abc
PROD_0974,win,Furniture,abc
PROD_0975,capital,Clothing,abc
PROD_0976,happen,Electronics,57341
PROD_0977,indeed,Clothing,-999
PROD_0978,space,Books,-999
PROD_0979,Mr,Furniture,abc
PROD_0980,game,Books,abc
PROD_0981,,Clothing,-999
PROD_0982,build,Furniture,abc
PROD_0983,thought,Books,abc
PROD_0984,throw,Books,abc
PROD_0985,imagine,Clothing,abc
PROD_0986,television,Books,92170
PROD_0987,,Electronics,43753
PROD_0988,type,Books,-999
PROD_0989,play,Books,abc
PROD_0990,I,Books,abc
PROD_0991,serve,Furniture,-999
PROD_0992,those,Books,-999
PROD_0993,know,Electronics,-999
PROD_0994,,Clothing,abc
PROD_0995,there,Clothing,abc
PROD_0996,me,Books,abc
PROD_0997,claim,Electronics,abc
PROD_0998,huge,Clothing,abc
PROD_0999,performance,Furniture,51459
