product_id,product_name,product_category,product_price
PROD_0001,all,Furniture,47336
PROD_0002,whom,Furniture,-999
PROD_0003,guy,Clothing,-999
PROD_0004,education,Electronics,84116
PROD_0005,everyone,Furniture,-999
PROD_0006,beat,Electronics,-999
PROD_0007,two,Electronics,3439
PROD_0008,walk,Furniture,85189
PROD_0009,garden,Electronics,-999
PROD_0010,past,Clothing,-999
PROD_0011,,Books,abc
PROD_0012,store,Books,abc
PROD_0013,appear,Books,85786
PROD_0014,away,Clothing,abc
PROD_0015,heart,Electronics,abc
PROD_0016,laugh,Furniture,abc
PROD_0017,five,Clothing,35188
PROD_0018,remain,Furniture,-999
PROD_0019,skin,Clothing,83099
PROD_0020,American,Books,abc
PROD_0021,forget,Furniture,abc
PROD_0022,above,Electronics,abc
PROD_0023,name,Furniture,51175
PROD_0024,ask,Furniture,-999
PROD_0025,social,Clothing,45318
PROD_0026,economy,Books,41257
PROD_0027,cost,Books,abc
PROD_0028,clearly,Clothing,80418
PROD_0029,responsibility,Clothing,-999
PROD_0030,community,Books,-999
PROD_0031,home,Electronics,abc
PROD_0032,road,Clothing,abc
PROD_0033,cut,Electronics,abc
PROD_0034,surface,Furniture,abc
PROD_0035,not,Furniture,abc
PROD_0036,environment,Clothing,59960
PROD_0037,edge,Books,-999
PROD_0038,moment,Furniture,-999
PROD_0039,artist,Furniture,-999
PROD_0040,today,Books,-999
PROD_0041,clearly,Furniture,10251
PROD_0042,begin,Electronics,-999
PROD_0043,human,Clothing,45930
PROD_0044,however,Furniture,-999
PROD_0045,already,Electronics,-999
PROD_0046,put,Electronics,30518
PROD_0047,member,Furniture,21243
PROD_0048,education,Clothing,91565
PROD_0049,,Electronics,-999
PROD_0050,article,Furniture,97595
PROD_0051,interesting,Furniture,abc
PROD_0052,tough,Clothing,-999
PROD_0053,generation,Furniture,62514
PROD_0054,not,Clothing,abc
PROD_0055,spring,Furniture,-999
PROD_0056,reason,Clothing,53017
PROD_0057,figure,Books,abc
PROD_0058,guess,Books,-999
PROD_0059,body,Electronics,-999
PROD_0060,black,Electronics,-999
PROD_0061,,Books,-999
PROD_0062,believe,Clothing,abc
PROD_0063,win,Clothing,-999
PROD_0064,explain,Electronics,-999
PROD_0065,quickly,Clothing,-999
PROD_0066,approach,Furniture,-999
PROD_0067,red,Books,abc
PROD_0068,some,Electronics,-999
PROD_0069,clear,Furniture,-999
PROD_0070,dog,Books,75587
PROD_0071,day,Clothing,-999
PROD_0072,difficult,Furniture,-999
PROD_0073,whom,Books,8601
PROD_0074,late,Furniture,abc
PROD_0075,finish,Electronics,abc
PROD_0076,,Clothing,abc
PROD_0077,cost,Books,79097
PROD_0078,,Electronics,abc
