product_id,product_name,product_category,product_price
PROD_2401,human,Clothing,-999
PROD_2402,red,Furniture,-999
PROD_2403,or,Furniture,-999
PROD_2404,activity,Furniture,92136
PROD_2405,pretty,Clothing,-999
PROD_2406,idea,Clothing,abc
PROD_2407,bed,Clothing,60431
PROD_2408,direction,Furniture,abc
PROD_2409,behind,Clothing,abc
PROD_2410,,Books,abc
PROD_2411,usually,Books,10773
PROD_2412,performance,Clothing,-999
PROD_2413,,Electronics,abc
PROD_2414,plan,Clothing,abc
PROD_2415,family,Electronics,59901
PROD_2416,clearly,Clothing,90515
PROD_2417,bar,Furniture,25552
PROD_2418,,Electronics,abc
PROD_2419,,Furniture,84868
PROD_2420,or,Clothing,-999
PROD_2421,sense,Clothing,2539
PROD_2422,analysis,Electronics,abc
PROD_2423,consider,Furniture,abc
PROD_2424,,Clothing,abc
PROD_2425,law,Books,2979
PROD_2426,image,Electronics,abc
PROD_2427,work,Books,51709
PROD_2428,buy,Electronics,-999
PROD_2429,issue,Furniture,-999
PROD_2430,kitchen,Electronics,32663
PROD_2431,it,Clothing,68226
PROD_2432,hot,Electronics,-999
PROD_2433,write,Electronics,abc
PROD_2434,measure,Furniture,abc
PROD_2435,recognize,Books,23290
PROD_2436,involve,Electronics,-999
PROD_2437,,Electronics,-999
PROD_2438,radio,Furniture,26334
PROD_2439,,Clothing,69411
PROD_2440,she,Electronics,abc
PROD_2441,grow,Furniture,13970
PROD_2442,,Furniture,44986
PROD_2443,watch,Books,-999
PROD_2444,wall,Books,abc
PROD_2445,style,Books,-999
PROD_2446,series,Electronics,93737
PROD_2447,hot,Books,abc
PROD_2448,current,Books,-999
PROD_2449,issue,Clothing,abc
PROD_2450,color,Electronics,30551
PROD_2451,necessary,Clothing,-999
PROD_2452,thought,Furniture,abc
PROD_2453,film,Books,62478
PROD_2454,meet,Furniture,abc
PROD_2455,finish,Furniture,-999
PROD_2456,finally,Furniture,-999
PROD_2457,another,Furniture,abc
PROD_2458,model,Clothing,94898
PROD_2459,law,Books,15883
PROD_2460,finally,Clothing,abc
PROD_2461,unit,Furniture,abc
PROD_2462,anything,Books,abc
PROD_2463,some,Clothing,97107
PROD_2464,together,Electronics,85704
PROD_2465,strong,Electronics,abc
PROD_2466,focus,Furniture,-999
PROD_2467,late,Electronics,-999
PROD_2468,name,Books,-999
PROD_2469,mind,Books,abc
PROD_2470,piece,Electronics,-999
PROD_2471,agree,Clothing,abc
PROD_2472,through,Clothing,abc
PROD_2473,,Clothing,-999
PROD_2474,sign,Electronics,48250
PROD_2475,value,Clothing,-999
PROD_2476,power,Furniture,-999
PROD_2477,nature,Electronics,abc
PROD_2478,wind,Clothing,774
PROD_2479,,Clothing,89456
PROD_2480,tell,Furniture,65339
PROD_2481,itself,Electronics,23469
PROD_2482,adult,Furniture,-999
PROD_2483,seat,Books,-999
PROD_2484,enjoy,Clothing,59580
PROD_2485,out,Electronics,abc
PROD_2486,purpose,Electronics,abc
