project_name,project_id,issue_id,issue_type,severity,package,version,fixed_in,exploit_maturity,disclosure_time,cvss_score
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,aaa1c,vulnerability,medium,socket.io-parser,4.2.1,4.2.3,proof-of-concept,2023-04-22T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,d3531,license,medium,copyleft-utils,0.9.8,,no-known-exploit,2020-01-19T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,0fbd4,vulnerability,medium,node-fetch,2.6.1,2.6.7,proof-of-concept,2023-05-12T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,8cd74,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2024-01-25T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,1aefc,vulnerability,high,semver,5.7.1,5.7.2,no-known-exploit,2022-10-28T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,dad54,vulnerability,medium,socket.io-parser,4.2.1,4.2.3,proof-of-concept,2024-05-30T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,41aba,vulnerability,high,semver,5.7.1,5.7.2,no-known-exploit,2021-07-09T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,4a18e,vulnerability,critical,jsonwebtoken,8.5.1,9.0.0,mature,2022-12-16T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,907a3,vulnerability,critical,jsonwebtoken,8.5.1,9.0.0,mature,2020-11-04T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,692ea,vulnerability,critical,minimist,1.2.5,1.2.6,mature,2020-08-31T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,4a848,license,high,proprietary-sdk,1.0.0,,no-known-exploit,2020-02-20T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,6ca32,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2023-01-01T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,9b62f,vulnerability,high,passport,0.5.3,0.6.0,no-known-exploit,2021-06-22T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,14f1c,vulnerability,high,tar,6.1.11,6.1.13,mature,2022-08-14T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,f1cde,vulnerability,high,nth-check,1.0.2,2.0.1,no-known-exploit,2023-04-04T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,f2850,license,high,agpl-commons,1.4.2,,no-known-exploit,2021-09-16T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,2651e,vulnerability,high,minimatch,3.0.4,3.1.2,proof-of-concept,2020-09-23T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,00d69,vulnerability,high,decode-uri-component,0.2.0,0.2.2,no-known-exploit,2021-05-23T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,0b2f0,vulnerability,high,qs,6.5.2,6.5.3,mature,2020-01-15T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,333a8,vulnerability,medium,node-fetch,2.6.1,2.6.7,proof-of-concept,2022-09-08T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,1de1c,vulnerability,high,tar,6.1.11,6.1.13,mature,2023-06-29T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,9f4b8,vulnerability,medium,node-fetch,2.6.1,2.6.7,proof-of-concept,2021-02-20T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,c7e1c,vulnerability,high,passport,0.5.3,0.6.0,no-known-exploit,2020-08-27T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,68fd0,vulnerability,medium,request,2.88.2,,no-known-exploit,2021-03-09T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,0602e,vulnerability,high,tar,6.1.11,6.1.13,mature,2024-05-19T00:00:00Z,8.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,33dfb,license,high,proprietary-sdk,1.0.0,,no-known-exploit,2022-03-19T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,50de2,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2021-06-09T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,9dbab,vulnerability,high,express,4.16.4,4.18.2,proof-of-concept,2022-06-08T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,df940,vulnerability,high,word-wrap,1.2.3,1.2.4,no-known-exploit,2022-11-08T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,ab7aa,vulnerability,high,word-wrap,1.2.3,1.2.4,no-known-exploit,2024-02-12T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,f740f,vulnerability,critical,jsonwebtoken,8.5.1,9.0.0,mature,2020-10-06T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,d8f9a,vulnerability,high,decode-uri-component,0.2.0,0.2.2,no-known-exploit,2023-11-16T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,93ae3,vulnerability,high,lodash,4.17.15,4.17.21,mature,2023-08-19T00:00:00Z,7.4
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,145b2,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2021-01-30T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,a69bc,license,high,proprietary-sdk,1.0.0,,no-known-exploit,2020-04-17T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,b5f80,vulnerability,critical,vm2,3.9.11,3.9.19,mature,2020-06-21T00:00:00Z,10.0
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,1a981,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2022-09-13T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,07c62,vulnerability,medium,axios,0.21.1,0.21.2,proof-of-concept,2022-02-08T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,3fcce,vulnerability,high,minimatch,3.0.4,3.1.2,proof-of-concept,2021-12-16T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,521e0,vulnerability,medium,node-fetch,2.6.1,2.6.7,proof-of-concept,2021-09-25T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,9e170,vulnerability,medium,axios,0.27.2,1.6.0,mature,2021-09-11T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,16aad,license,low,bsd-restricted,2.3.4,,no-known-exploit,2023-07-20T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,da23a,vulnerability,medium,axios,0.27.2,1.6.0,mature,2021-06-05T00:00:00Z,6.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,864cc,vulnerability,high,qs,6.5.2,6.5.3,mature,2023-06-26T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,d30c9,vulnerability,high,multer,1.4.4,1.4.5,proof-of-concept,2022-11-15T00:00:00Z,7.5
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,9ec90,license,high,proprietary-sdk,1.0.0,,no-known-exploit,2023-08-09T00:00:00Z,
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,17dfc,vulnerability,critical,mysql2,3.2.0,3.9.7,mature,2024-04-10T00:00:00Z,9.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,ddec1,vulnerability,medium,node-fetch,2.6.1,2.6.7,proof-of-concept,2021-08-13T00:00:00Z,6.1
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,d73d7,vulnerability,high,json5,2.2.1,2.2.2,proof-of-concept,2022-08-14T00:00:00Z,8.8
syngenta-pim-core,a3f91c02-47b8-4e12-b6d7-0e8a5c3f9d21,a2685,vulnerability,critical,minimist,1.2.5,1.2.6,mature,2023-08-21T00:00:00Z,9.8
