product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,about_product,user_id,user_name,review_id,review_title,review_content,img_link,product_link
B0BHVPTM2C,HB Plus Folding Height Adjustable Aluminum Foldable Portable Adjustment Desktop Laptop Holder Riser Stand,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,₹398,"₹1,949",80%,4.0,75,"HB Plus Laptop Ergonomic Stand Or Laptop Stands For Office Desk Improves Your Posture Scientifically Designed To Help You Balance You’re Sitting Posture Keeping Your Back Straight, Neck Relaxed And Wrists Natural Even After Long Work Hours|Hb Plus The Aluminium Laptop Stand Or Metal Laptop Stand Or Foldable Laptop Stand Or Better Known As A Aluminum Laptop Stand Provides 6-Speed Adjustable Height, Adjust To Comfortable Operating Angle And Height Based On Your Actual Need. And The Ergonomic Design Makes For Easy Watching And Typing, Relieving Neck, Shoulder And Spinal Pain.|Hb Plus The Laptop & Tablet Stand Supports Most Devices From 10 - 15.6 Inches: Macbook, Thinkpad, Surface, Chromebook, Ipad Pro, Etc. Therefore Known As A 11.6 Inch Laptop Stand ,12 Inch Laptop Stand , 13.3 Inch Laptop Stand ,15 Inch Laptop Stans & 15.6 Inch Laptop Stand|HB Plus Laptop Stand Metal Is A Laptop Foldable Stand Which You Can Fold And Carry Easly In Your Backpack Or Briefcase You Can Use It To Change Angle Of Your Laptop Therefore Use It As Laptop Incline Stand Or Laptop Height Stand|HB Plus light weight at 260gm only and extremely handy to carry in your office bag [Increases laptop life]-keeps your laptop cooler so the battery life and internal components life also improves","AH6ZYHC4ECJ56T4GGZCL6MITCTMA,AE4TXVJAXHK5R7IELJNWWYHFIN6A,AEIJ7SPIJQQGYL2ILSVFV7L7KUCA,AGPQF6FIRVMT534CMDQOPD43MABQ,AEWSLNWPA73PVMUGHDJFRBKEAPSQ,AGBYFOYR3NI4NL3YQNDGZZF2IK4Q,AEM3QOT5IZHF2LEZT6LFD3OTDOLQ,AHK3VCLMISL3QD2KOQSW6WHTC6QQ","RISHABH K.,Anish Galgate,SK HANNAN ALI,S Vijayan,divy soni r,KAVINESHVER S K,Arun,Prithivi P N","RLHRP9RFNLBWY,R2C5QG39XNO5MS,R18G29NPVIGLWJ,RX6C2AZO7L6A3,R17FIVZES7T2LX,R2KKPSW7W1WW38,R322DDJFFCLA2H,RHR04GI4R2ULD","Good product but one-leg-rubber missing,Stong and sturdy,Good,Height Adjustable,Superb,Value for money,fabulous,A valuable purchase, good one","Quality is good but ..rubber is missing in one of the leg of the alptop stand,Good product, strong and sturdy. Price can be little less around 250-300.,I bought it with that in mindThat thought was fulfilled.,Height adjustable is not equal and perfect.,Its very useful and value for money,Affordable adjustable stand for laptops. It is really light and doesn't occupy much space. Easy to carry. Stand is stable in flat surfaces. Simple to fold and unfold. Good to buy this product.,fabulous product,A good one, must buy, value for money",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41AKgxsBONL._SY300_SX300_QL70_FMwebp_.jpg,https://www.amazon.in/HB-Adjustable-Aluminum-Foldable-Adjustment/dp/B0BHVPTM2C/ref=sr_1_439?qid=1672903017&s=computers&sr=1-439
B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹349,₹899,61%,4.5,149,"🥇【Kindly NOTE before you purchase】:This is a USB-C to USB-C cable, which means it has the same USB C or Type C plug on both sides, please keep a note that this cable is not a USB-C to USB-A cable. Besides, you may need a USB C wall charger to charge your device. This product DO NOT support video output and monitor connection.|🥇【65W High Speed Charging】: Build-in updated smart chip, which makes this USB-C to USB-C PD cable strong enough to support max 3.25A current 65W power through, as well as support fast charging for more Type-C devices. You need a USB C wall charger for your device to charge and we would like you to recommend to use the original wall charger.|🥇【Compatible Devices】:This USB C to USB C cable compatible with Samsung S20, S21 Ultra, A71, laptop Macbook, Samsung S21 S22 S20 FE 2022 A71, A51, A33, M51, M31, M31s, M33, M53, Macbook Air, Macbook Pro, Macbook Air M1|🥇【Military grade material】:Strong military fiber, the most flexible, powerful and durable material, makes tensile force increased by 200%. Special Strain Relief design, can bear 10000+ bending test. Premium Aluminum housing makes the cable more durable|🥇Warranty: Oraimo offer 365days warranty .Oraimo develops cool and creative smart accessory for young people around the world, enableing them to explore more excitement.","AEOIHOJD3O5MYSVWZOBDUJGYWZGQ,AF6LAYTAGSTBKL2QUF3WFB6OMCPQ,AHKXH7KSF7CPJCJMHB6B35VPTETA,AFELQLNWTS4QJNCCA4ZDTWHVORJQ,AGGE54AKRMX2XMQWQQTSUOPL7CHA,AG7ZAJNX4XZ5LTA4NLWBHTCX2V5A,AGYSVNZMQT5LOVKHSCYDE7OAPKVA,AHAI6EM7F7W3GV3SUIDSKWTBJOSA","Ravi Shankar,Prakash Luhariya,bhavesh sabalpara,Anup Roy,Hasibul seikh,Manoj Kumar,Amazon Customer,DEEPAK  MAZUMDAR","RDFETF8YFDP96,R3604ERFM30Q4D,R1CB3GDRVBHAIG,R29H4558OA57RW,R2C4V03DG7EDWE,R20CNK6VJGER17,RXZLH38FGBU9K,R3E6TE6HH92GC3","It worked well for some days later it is not working , I want it to replace.,Extremely fine,Superb product,This is very decent, quality is super good!,Good,Awesome Product Quantity & Value For Money,Go for it..,Be(a)st in the market.","It worked well for some days later it is not working , I want it to replace.,Nice,Superb product with white lights at both ends when charging. colour and quality feels very premium..,https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81u-AB650VL._SY88.jpg,Good,Good Build Quality. Nice Product & Highly Recommended.,Good quality and looks beautiful... I will surely recommend,( After using it for 3 weeks). I use Samsung M51, few months back my USB Cable was torn, so I wasn't able to fast charge. It took a decade to charge from 20-90%. Samsung original cable was too pricey and too flimsy, so I was searching for something durable. While browsing through the product page I was skeptical to place an order, as the company claimed too many features in such a low price. Keeping the negative thoughts aside I ordered it anyhow. The product was delivered well in advance, which made me happy.I unboxed and plugged in the cable, to my surprise the cable delivered everything that the company claimed. The ends have aluminum casing which makes it durable and away from regular wear and tear, it has LED indicator on both ends which turns on when the charger is plugged to the phone. Also, the box that it comes with has a secret code that you need to scratch to reveal which helps to check its authenticity.It easily fast charges my phone in an hour. Overall, I'm very happy with the product.I highly recommend this cable to anyone who needs a fast charging Type C to C cable.Will update this review if any change is observed.",https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41gztmbiIgL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/oraimo-Charging-Syncing-Indicator-Compatible/dp/B0B86CDHL1/ref=sr_1_440?qid=1672903017&s=computers&sr=1-440
B01NBX5RSB,HP 65W AC Laptops Charger Adapter 4.5mm for HP Pavilion Black (Without Power Cable),Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,₹770,"₹1,547",50%,4.3,"2,585","AC Input: 100 ~ 240V 50~60Hz, DC Output: 19.5V 3.33A 65W,HP INDIA WARRANTY|This Package Includes Adapter/ HP User Guide/ HP Genuinity Check Manual|Compatible with: HP Pavilion TouchSmart 15, HP Pavilion TouchSmart 15t, Hp Pavilion 15, Hp Pavilion 15Z, Hp Pavilion 17, HP Spectre 13, HP Spectre 13t & many More|Compatible with: HP ENVY 14-k001TX Sleekbook, HP ENVY 14-K002TX Sleekbook, HP 215, 240 G2, 242 G1, 245 G2, 250 G2, 255 G2 Notebook PCs Series, HP Pavilion 10 TouchSmart, HP Pavilion 11, HP Pavilion 13, HP Pavilion TouchSmart 14, HP Pavilion 14|Power Source Type: Corded Electric","AF33NXAARAF2D6VUOBSIWL5CV5MA,AFPPWBB7UVUGIXVIQVFWL5CN6XAA,AFM47S7NXDRALSGXS4LAFU743QJQ,AG7B6TJPNXKVLBY3RPA6HSCFJW2Q,AHBJAEOHXRCVYWBFYUOG2G7NTVLQ,AF6DRSZOQ6E5M6BH27L3GA3SYW4Q,AHAPGUPBVNULSTPS5Y3SXCSWGT6A,AEQGO3ENRW4OGBGWUNECEWY7LMZQ","Abhiram Ganesh,Amazon Customer,Vikash,Rohit,Zakaria Ahmed,Vihar,Amazon Customer,M.bramheswar","R1TJKL76C0W8AT,RI1F2WGK4HN7I,RC05PR7RHAM9E,R1LKX7E6XKVV27,R2FOPD4PXWCP5N,R2URWEN1QK21IU,R37JHQEP9ROA6N,R3DE3ZEHY39HOR","Decent product.,Good,Good quality,It is original hp 65w chrger,Right product,100% authentic,Good Quality,Decent","It was what I expected.  Does the job.,Recommended.,Nice quality and durable,It is exact same volt and watt as my old charger is.,Best product in this price and overall ok,100% Original,Quality assurance,Decent performance",https://m.media-amazon.com/images/I/41No9BR7P0L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-Charger-Adapter-Pavilion-Black/dp/B01NBX5RSB/ref=sr_1_441?qid=1672903017&s=computers&sr=1-441
B08MWJTST6,"Tukzer Fully Foldable Tabletop Desktop Tablet Mobile Stand Holder - Angle & Height Adjustable for Desk, Cradle, Dock, Compatible with Smartphones & Tablets (White)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,₹279,"₹1,299",79%,4.0,"5,072","NON-SLIP DESIGN - The pad back and the bottom of this cell phone stand are fully covered by anti-skid silicone, which can provide maximum protection for your device from any scratches and slide.|SMALL AND PORTABLE DESIGN - This cell phone stand holder is Foldable in one second, smaller than your Palm. Easy to carry anywhere you want|MULTI-ANGLE & HEIGHT ADJUSTABLE - This cell phone stand holder is in accordance with ergonomic design. The height can be easily stretch up and down between 4.3in-5.7in (2in adjustable range), the angle is adjustable between 0°~135°, providing you comfortable viewing angle which helps to fix your posture and reduce neck & back strain. For Better Stability for Heavy and Wide Devices, we recommend to lower the height and adjust to a stable angle.|STURDY BASE - Tukzer Tablet and Mobile Stand are Metal Block in the base to Increase weight the stand is not easy to tilt.|Compatibility and Dimension - It fits all your Tablets and Mobile. Dimension 4.3-in X5.7-in X 2.6-in. Comes with 6 Months Warranty","AEB6ZUPDFZXQWXHE72JVVSO4ZFGA,AHPZYFKIAW7DX6SSCSGI27FGMZTQ,AFMXLK3YUJVFGQV33RBZQ4IDUPTA,AHMG256GFFJ3XGDBZ33VX2SHQ4OQ,AGWJWL3N6X3HBXK4SKRP6FWDSBGA,AEUNYC2KUYOZRA2TH2WTZ3RG44WA,AHEMPQZQUAERYFBDHQWBEN2KXO2A,AF4ND7E7FHRXWLU2TP27B7BIRJBQ","rajiv,Anil Mishra,Pandri T.,Shringar Gupta,Dr  Abdul Hei,Nitesh Pathak,Anil Tailor,Arun Varma","R3GUXZHJQIMMGG,R27GLD21LM330R,R1QKCIUA11Q764,R1H8WXNDG50VLO,R3UCW7IYN6BWZ3,R5ADY24AITSUM,R9FF9TS3M8P92,R20I0S1U3RR780","Good product,Good,Decent product,Good stand as per the price,Good ,not great,Not so good, not so bad,No provision to tight top up-down part. It gots loose in 3-4 days and leaning downward.,good product","Value for money,Good 👍,The mobile/tab stand is a well made product. Tilt and height adjustment are a great pluses. Sturdy enough for 8/10"" tabs. Can be used on a flat surface like table top, not top of my bed!.,Have been using this for almost 6 months now, no issues faced till date, i have bought both black and white one's, but white variants quality is better than the black one,Not durable, durability is required,Ordered this since i liked the simplicity of this product.Was little disappointed when i received this because of the following reasons :1. had scratches on it, probably someone returned this earlier, and it was fixed and sent to me.2. The screws are little loose, hence reduced a star.3. When closed, can see gap, so is not so perfect.In the end, decided to accept the flaws and keep it rather than getting it replaced ( didn't want to go through the process) since the flaws are not so bad.,No screwto hold top part stable,utility product for mobile tab etc",https://m.media-amazon.com/images/I/41Msi1CS2WL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Tukzer-Foldable-Adjustable-Compatible-Smartphones/dp/B08MWJTST6/ref=sr_1_442?qid=1672903017&s=computers&sr=1-442
B07R99NBVB,"Gizga Essentials Cable Organiser, Cord Management System for PC, TV, Home Theater, Speaker & Cables, Reusable Cable Organizer for Desk, WFH Accessories, Organizer Tape Roll, Reusable Cable Ties Strap",HomeImprovement|Electrical|CordManagement,₹249,₹599,58%,4.5,"5,985",Gizga Essentials Reusable Cable Ties are re-usable and does not lose it’s grip strength for holding cables in place when fastened|Double Sided Hook & Loop Tape. Hook on one side and Loop on another side. Double-sided allows you to cut custom-length rings to wrap unsightly cables together|VALUE Combo pack of 7 Cable ties come in DIY 100cm X 7. The extra long 700cm tie can be cut to preferred lengths and re-used|Adjustable size to meet your different need.The strap can be cut to size easily. You can cut it to the size you want|All Gizga Essentials Products comes with 1-Year Peace of mind warranty for failure to perform as promised,"AEG6NCZPUEEC3YY267IS3YMFRBWA,AE3S562OZDGHRXCXEO6AXOU3W5AQ,AE4ENCSAVBVYJVFC3GMNMRDSD2KA,AFREKZH5BGM747DB57WHR4RTR3QA,AEIFPFERCLDOHEDLTL4AT54MGQYQ,AEEGGAYRYXP6RHFL64B5MD5RVOKA,AGB7JIFSP63DCBEXSQJ7NV4QOYMQ,AGTVC53G6H2H6XPYPMPKWPVMEYNQ","Dhineshkumar,Amazon Customer,Ankit Kumar Singh,Pranay,Harshith,Amazon Customer,M M M,E R","R3L1T1SL8IC3UH,R250EC6F25GMQ2,R394W20XOQRZP5,R2QGR6SJBD2P9Z,R186IO80N0J27F,R87MN20OCTGUO,R371GCMZMTM6ZS,R2ELNQ06PADW2K","Very useful product to organize cable,Great, but a piece missing,Must Have for WFH Setup,Value,Exactly what I expected,Great product with a neat finish,Love it . Little Expensive but can't complain,Very useful product","I have lot of cables running between my Soundsystem, Settop box, TV and between my routers, accesspoint. It was kind of messy before. I organized it using insulated thin metal tie cable. But when i open it to add more cables or remove cable, it was broken and not looks good. Also i was afraid that tightening the tie cable may cur the wire since it was so thin and insulation is also very thin. But after i use this, it looks so neat and it is easy to remove or add more cable whenever required. adhesion of wellgrow is good.Overall, i like this productI suggest dont to precisely cut the wellgrow. Add some 50-70% of extra length which will allow to add more cables in future if needed,All was good, but I received 6 pieces instead of 7. Since I have used 1 already, I'm not going to return it. Just requesting the sellers to deliver as promised. Other than that, the2 product is great, and works great.,Not only WFH setup, but also if you're dealing with a lot of wires, this is the way to go.,Good quality,Good quantity and quality, sticks tightly and easy to strap. Helpful for keeping wires organized at work table  (laptop charger , mobile charges etc),I had to bind together variable number of wires at different places and this worked great without any wastage.,Useful to organize wire . Little expensive but I don't have time to find it in my locality and quality is also good.,These are strong and better than plastic tags which you normally use to keep wires in order. These can be removed and reused. They are also very strong as they are supporting my bluetooth soundbar which I have hung up in my room.",https://m.media-amazon.com/images/I/51llGK9TR+L._SY300_SX300_.jpg,https://www.amazon.in/Essentials-Reusable-Double-Organizer-Length/dp/B07R99NBVB/ref=sr_1_444?qid=1672903017&s=computers&sr=1-444
B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹115,₹499,77%,4.0,"7,732","[SYNC & CHARGE] : Ideal for charging and powering Micro USB port devices, as well as syncing data, photos and music.|[EASE OF USE] : Smoothly insert the Micro USB connector in a right way in your device.|[SYNC DATA] : Transfer data at high speeds.|[WARRANTY] : 6 Months hassle free warranty from the manufacturer.","AEGZSNGSJJAEMJ3RRNVZTKUILOHA,AGX46OTZ7C4VDXH4UA7ZAZIZUMYQ,AEDLLY6JXNCVYIW227SBCPVYHNUA,AGTJ44UNO6K5X567YLQPYGN3TV4Q,AFYCBABBI2GCQRSCKIRHPLQNO72A,AG55XGEMTFKS7BXQTNFKHFTMMW5A,AGQYGAK76B74HUWOOUOFTXH2LAZA,AHFHIY2KE5PQIJ6H7PKV6N7OLIZA","Vijayan C V,Sanjay P.,keshav,Dharemesh K.,Amazon Customer,Rajesh,Sagar Yadav,Vaibhav","R2VUNGNI96EEJ7,R2JGNI2T5LVFRQ,R9ISXRV6DA0OY,RZFW11UFTCBVH,R1WGHB13Q2OLYA,R11ETJ640KDIRW,R2IA54QBAYAGND,R23Y3AD6E6GE9N","Very good product and met my need.  Thanks,Decent value,Nice quality… trustable…,Just well in this price.,supports 2.4 amps fast charging,Nice,Nice.,Value for money","Liked the product.  Accurate to my usb apparatus.,Good value,Till now i had purchased about 20 cables both micro and c type for myself and my family in this last one year. Its all because this brand wins my trust by provinding great quality with reasonable price,na,tested with 2.4 amps charger and phone. gives full 2.4 amps power to phone.the cable LOOKS thick and it has nice texture. despite that, i am sure it is not very durable. the usb connectors are extremely sturdy and they dont bend or flex. the wire will break before the connector does!!warning: usb micro connector has a strong hook. be careful while plugging and unplugging, or you may damage your device.very cheap and usable cable for 120 rs,Super power,Nice product.,In this price this is the best one",https://m.media-amazon.com/images/I/41gFqSHngyL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Pinnaclz-Original-Micro-USB-Charging/dp/B08R69VDHT/ref=sr_1_447?qid=1672903017&s=computers&sr=1-447
B00LY12TH6,Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen|CraftMaterials|PaintingMaterials,₹230,₹230,0%,4.5,"9,427","50 assorted shades + 1 scraping tool|Confirms to safety standard EN 71 - 3|Camel Art Contest entry coupon inside the pack|Best result can be seen on Drawing Paper. These colours can adhere easily to surfaces like textured paper, sketching paper or even smooth tinted paper|Reusable Plastic Box","AF2RABP57DKRSINAD3R2DKITOV7Q,AEGE3H7UIM7FCTYQKD3MMRM3EXMA,AF35WMTKE2Q2F5DQEVAGC5VDLAYA,AEW2XGFZJOWDL6B4TNN4TZC2TRFA,AFQIRFHBUQALCU2BDHWX6T6YOJ2Q,AGFIPI7I4JGMPSNAVSWCA4P2WIAQ,AF4LSZBP7I7DOSKCLX5MZGSR7WJA,AHPDWYQTQGOMTW2T43NC4QQJIWSQ","Jayanta,Himanshu kumar,Saima,Vivek kumar,Raka,K.praveenkumar,Bhavani prasad,Neha","R1XLI27TRADFPX,R7BJF3442UAD5,R3G24OOLVH7NPF,R12IKB9O73E02,R2ACTXOL3JK11B,R1TI7GK9XO06OA,R1AP03CT7J9XZY,R1DYZ7SHA1FWJ0","Good product,Decent,Highly recommended,Kids love colour,Most awesome choice for your little artist and you,Good product excellent quality,Good product,This give happiness to my students","Good product, can go for it,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/711qovROcIL._SY88.jpg,Brought it for my 3 years old nephew, he is just in love with these camel colours.,Good to use and handling color with boc,I purchased this for my 5 year old who does not like to stop drawing. The range of colours covers all tones desirable. She has been in love with it since the day it arrived.I couldn't resist myself from using this set (of course, when she was away😃). The colours are smooth and bright, blends very well. It is good for any types of portraits, even those with bold colours.,Easy to use,Good product but easily breaking in pieces when applying more pressure,Good",https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31filqqY7-L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Camel-Oil-Pastel-Reusable-Plastic/dp/B00LY12TH6/ref=sr_1_448?qid=1672903017&s=computers&sr=1-448
B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,₹399,₹999,60%,4.1,"1,780","The boAt Type C A750 cable is compatible with smartphones, tablets, PC peripherals, Bluetooth speakers, power banks and all other devices with Type-C ports.|It ensures 6.5A fast charging for all the latest charging protocols and data transmissions with rapid sync at 480 Mbps|The convenient flat cable design makes it tangle free, sturdy and invincible against external damage.|Its ultra-durable PVC housing shell housing and extended tail protection makes it last longer to give a 10000+ Bends Lifespan.|boAt's Type C A750 cable offers a perfect 1.5 meters in length for smooth & hassle-free user experience.|2 years warranty from the date of purchase.","AFJVYK4FXVGRSTSLGVUE5JGB2NVA,AEVJIJSEUXPBRKOQ2PB4JNBUTFRA,AGRLDCPA7VJZZTV4GUIODVQ3DTHA,AEUDATTJUCKFQ5ETVLUU57ZZ3XXQ,AEGR6ZYWXPEZWM7JUEBWQHAOPS2A,AEETOHX32FYDRI6SIAW7L76Q2NHQ,AELSOXQRZBOFSSY4HJUR4Y7ASQBA,AFJ6ALITTDOSUNPSFLRGDVIAEWBQ","livin sebi,Anand k.,Rahul Pandita,Fazil Mohamed,Steve,Shivasunhith,Varun Kumar,Advaid Haridas","RMEKYV7XWTWKV,R1PYVXH6MGUQLU,R3FUT08S34HBHW,R2X57Q7030Q9DG,REPXGC5R2LG85,R399JBQZ8JKDKC,R1N2RQSGT02EZJ,R1NGVE16U4ZUIR","Better..!!,Charging speed is not guaranteed!,Exactly as advertised,Excellent warp charge cable,Nice,Amazing cable,Best fast charging cable,Really a good cable, Recommend","Yeap this cable support 65w fast charging tested on my 65w brick of realme 7 pro..Cable and pins quality looks good.Since i couldnt find original cable for 65w charger of realme i was searching for long time for a good one...,Charging speed depends on number of factors and only in best condition it will go above 50 watts and the brand only claims that 65 watts fast charge if only you use the brand's inbox charger . For me personally I tested out at multiple occassion using it for a month or two I never got speed above 38 watt and i tested it with the cable that I received from the box and it also gave me the same speed so buy carefully if you're conditions are good and you get speed more tha 50watss then only you should buy it or you should go with 3A/4A cables as they are cheaper and more durable braided cables,The cable supports fast charging (I'm using a OnePlus 65W charger) as advertised. If it could have been round and braided instead of flat ribbon cable, that would make it more durable. In my experience, braided cables are easy to wrap and store when not in use and they dont get frayed easily. My cable stopped fast charging after two months of usage but warranty support was excellent, I submitted the cable at a nearby centre and a new cable was shipped within 3 days. I've been using Boat Cables for about 6 years now (a cable from a Moto G4 phone is still with me and in use)  and will stick to them.,Got the original one, but there are fake cables being sold, so beware.It warp charges as it supports 6A power supply. The cable is long and sturdy compared to the typical OnePlus cable in the box. The price of original OnePlus cable is 890 mrp but this i got for 400 and is not unlike other third party wires. Definitely worth it. 👍🏻,Best in price segment and durable material tangle free alsi,Amazon send me a used product but the cable is super and support fast charging and the quality is also good but they sent me a used product by others if not it's super product and 3 year's of warranty on it just buy it,Very good quality fast charging cable, getting good quick charging through laptop also.Flat cable design makes it more durable.,I have a OnePlus 7t with 30 Watts charge,My original wire had been destroyed few years ago and was searching for a cable with 6v-5a for fast charging, I had buyed many wires but the phone was not charging as fast as 5he original one. This wire has a good build quality and can do 65 watts (6.5a).",https://m.media-amazon.com/images/I/41jlh3c7UbL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/boAt-A750-Tangle-free-Transmission-Rebellious/dp/B09RWZRCP1/ref=sr_1_449?qid=1672903017&s=computers&sr=1-449
B08497Z1MQ,"HP M270 Backlit USB Wired Gaming Mouse with 6 Buttons, 4-Speed Customizable 2400 DPI, Ergonomic Design, Breathing LED Lighting, Metal Scroll Wheel, Lightweighted / 3 Years Warranty (7ZZ87AA), Black",Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,₹599,₹700,14%,4.3,"2,301","High-end optical engine for precise positioning. 4-speed DPI optional, adjustable mouse movement speed .|Button life up to 3 million times, High definition(3200 DPI) optical tracking delivers more responsive cursor control.Recommend with a solid color mouse pad;Compatibility - Windows XP / Windows7 /Windows 8 / Windows10|Note : In case of Wireless mouse, the USB receiver will be provided inside or along with the mouse|3 years manufacturer warranty on the device from the date of purchase|Operating System: Windows 8windows Xp","AHPRNMXR66DD77CEYCS5XWD6SIIQ,AFSP434VUSNRSG4UX2ZLIWZXZ2KA,AEBIJEXNYPRKO5MKEV6Y3B7T3CCQ,AGVOEUHI37YTWKDUKVJVBC3EEREQ,AH6NMSZEUI2NAFVB4F2ZHK2IE5SQ,AHMBCE3D5FLL2VTWRXIWZCXIYXRQ,AH35ZZDDDXAUW4RYSRKV4QYYOS3Q,AF2BZP4VGYYRYIHU2HKLQUSH4ETQ","IAMSRK,Tirath T.Trivedi,Damodaran,Ashish  kumar,Pratheep,Antony,Aditya,Dilip ku Choudhury","R1YFWBTKE811UK,R7JA1V7MRECMB,R21GDLJZA5TI9W,R1O4EEFOQBZ0JO,R15B7E5SEJPSZC,R197ZA6SKUG991,R3ND0LPTOXRICR,R2NAFIJTOX2QVU","mast mouse hain,Awesome and cheap for gaming mouse,sensitive as I expected,Mouse gaming,Build quality is very worst,awesome design from HP,Best Buy,Perfect 👍","it has a good grip and a good handling, smooth chalta hain aur speed changing button se mast se speed change hoti hain. only thing i am worried is that the cord will damage with wear and tear.,Very awesome and smooth to use, very helpful while gaming .,Good,Looking for gaming 😏,Actualy performance is awesome ..but its build quality is very worst .. plastic which is use in left and right click buttons has highly chance of breaking.... So this product not satisfied me,Nice gaming Mouse from HP in the price range. Thank you Amazon for the fast delivery.,,👍🤗",https://m.media-amazon.com/images/I/31mYeD0VSTL._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/HP-M270-Gaming-Mouse-7ZZ87AA/dp/B08497Z1MQ/ref=sr_1_450?qid=1672903017&s=computers&sr=1-450
B07KNM95JK,"Foxin FTC 12A / Q2612A Black Laser Toner Cartridge Compatible with Laserjet 1020,M1005,1018,1010,1012,1015,1020 Plus,1022,3015,3020,3030,3050, 3050Z, 3052,3055 (Black)","Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",₹598,"₹1,150",48%,4.1,"2,535","High Productivity: Yields up to 2,000 pages (based on 5% coverage) and ensures crisp and retainable prints.|Eco-friendly and smudge free output: Disperses advanced quality ink and delivers dark & smudge free graphics and text.|Compatible for wide usage: Excellent choice for school, bank, office, hospital and even at your home.|Easy to install and Use: Each cartridges are passed through strict quality checks for durability and compatibility.|For Use in : HPLJ- 1010/1012/1015/1018/1020/1022/1022N/3015/3020/3030/3050/3052/3055/M1005/M1005 MFP/M1319F MFP Can- LBP2900/3000","AE2XMB6CEF4SCPYQI75GHNYEAXIA,AGGZZQ5IGA5QAIGYO5NZ6PVT3D7Q,AE6DVWUAWPSVBSLLUQYNPPSQQAJA,AGY5QPHPBISAP2NWFXQM6IUE2FSA,AGFVUN4637QP6LIOV5R4RLQWPRAQ,AGFVDEDXE3HZWF4WGRUEPMDEGISA,AGLQGHCAPA45C7LFUS257GLOBJIQ,AHHZDQ4MJ63XTHK5UTCXGFSPQNTA","Dilip Panchal,balu prathap,Rahul,hariraj,MRINAL KANTI MONDAL,pradeep kumar,rashid pathan,Baskaran","R367C8BV6Z0S2R,R9M1ZHBVREOSZ,R1B2QSKDQHE9QB,R1Q0759SBMZ8Q0,R3TSRA5SXC5XJ9,R31U43BO6CMP8K,RICP1UJVB4PBJ,R1T3MQ9K7LNI8D","It is value for money,No problem,Nice,Quality,GOOD QUALITY,Nice product,Good,SATISFACTORY","Product is good, print quality is good,Super printing,Like,Good prospect I am recommending,I USED FOR 20 DAYS BUT I DONT KNOW AFTER THAT WILL PARFORMANCE,Nice product,Good,SATISFACTORY",https://m.media-amazon.com/images/I/41p7lk3nj6L._SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.in/Foxin-Toner-Cartridge-Q2612A-Laserjet/dp/B07KNM95JK/ref=sr_1_451?qid=1672903017&s=computers&sr=1-451
