scan_date,project_key,branch,type,severity,file,line,message,rule,status,effort,debt,tags
2025-01-13T08:30:00Z,syngenta-pim-core,develop,VULNERABILITY,CRITICAL,src/auth/JwtAuthFilter.java,544,HTTP response splitting vulnerability in header value,java:S5131,OPEN,58min,58min,"security,injection"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MINOR,src/api/CategoryController.java,807,Optional.get() called without isPresent() check,java:S3655,REOPENED,21min,21min,"bug,null-pointer"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MAJOR,src/model/Variant.java,509,Race condition in cache invalidation — shared state not synchronized,java:S2276,OPEN,50min,50min,"bug,concurrency"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,VULNERABILITY,CRITICAL,src/model/Product.java,150,HTTP response splitting vulnerability in header value,java:S5131,CONFIRMED,51min,51min,"security,injection"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MAJOR,src/model/Variant.java,190,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,42min,42min,"bug,multi-threading"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MINOR,src/config/DatabaseConfig.java,873,Condition always evaluates to true (dead branch),java:S2583,OPEN,11min,11min,bug
2025-01-13T08:30:00Z,syngenta-pim-core,develop,CODE_SMELL,MAJOR,src/auth/JwtAuthFilter.java,744,Duplicate code block found in 4 locations,java:S1192,OPEN,46min,46min,"maintainability,duplication"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MAJOR,src/model/Category.java,879,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,47min,47min,"bug,multi-threading"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,CODE_SMELL,INFO,src/export/CsvExportService.java,375,Missing Javadoc on public API method,java:S1176,OPEN,7min,7min,convention
2025-01-13T08:30:00Z,syngenta-pim-core,develop,BUG,MAJOR,src/batch/ProductImportJob.java,24,Race condition in cache invalidation — shared state not synchronized,java:S2276,CONFIRMED,43min,43min,"bug,concurrency"
2025-01-13T08:30:00Z,syngenta-pim-core,develop,VULNERABILITY,MINOR,src/util/StringSanitizer.java,882,Weak hash algorithm MD5 used for product fingerprinting,java:S4790,OPEN,38min,38min,"security,cryptography"
